label_g_teacher_salary_growth	label_g_teacher_salary_growth_2	total_column_o_projected_register	total_column_q_register_change	label_s_fair_student_funding_register_formula	weighted_register	calculation_j_foundation	total_column_n_fy14_actual_registers	system_wide_teacher_salary_growth	foundation	label_w_final_school_fsf_percent	label_h_foundation_for_new_schools	label_f_register_change_allocation_based_on_school_s_percent_of_formula	label_j_fy15_fair_student_formula_at_100	total_column_p_projected_formula	fiscal_year	label_t_change_to_preliminary_fair_student_funding_percentage_capped_at_100	total_column_r_register_dollar_change	calculation_j_fsf_formula_at_100	location	label_a_fy14_revised_based_allocations	label_d_initial_fair_student_funding_allocations_total	calculation_j_initial_fair_student_funding_allocations_total
0.00	0.00	768.69	-18.39	-75832.32	768.69	225000.00	787.09	0.00	225000.00	0.81	0.00	-61424.18	3393969.12	3168969.12	2015	0.81	-75832.32	3393969.12	K109	2853289.00	2791864.82	2791864.82
0.00	0.00	393.24	-22.14	-91265.73	393.24	225000.00	415.38	0.00	225000.00	0.9266	0.00	-84565.93	1846162.03	1621162.03	2015	0.9266	-91265.73	1846162.03	K110	1811719.00	1727153.07	1727153.07
0.00	0.00	776.19	38.03	156763.30	776.19	225000.00	738.16	0.00	225000.00	0.8473	0.00	132818.35	3424875.65	3199875.65	2015	0.8473	156763.30	3424875.65	K112	2803289.00	2936107.35	2936107.35
0.00	0.00	937.86	-108.92	-449048.20	937.86	225000.00	1046.78	0.00	225000.00	0.81	0.00	-363729.09	4091353.92	3866353.92	2015	0.81	-449048.20	4091353.92	K113	3720476.00	3356746.91	3356746.91
0.00	0.00	741.30	-66.49	-274101.49	741.3	225000.00	807.79	0.00	225000.00	0.8747	0.00	-239768.37	3281044.18	3056044.18	2015	0.8747	-274101.49	3281044.18	K114	3138022.00	2898253.63	2898253.63
0.00	0.00	1442.09	42.07	173445.60	1442.09	225000.00	1400.02	0.00	225000.00	0.823	0.00	142738.62	6170093.98	5945093.98	2015	0.823	173445.60	6170093.98	K115	4974830.00	5117568.62	5117568.62
0.00	0.00	751.81	-14.46	-59614.40	751.81	225000.00	766.27	0.00	225000.00	0.8119	0.00	-48400.33	3324353.22	3099353.22	2015	0.8119	-59614.40	3324353.22	K116	2789734.00	2741333.67	2741333.67
0.00	0.00	111.89	58.19	239888.64	111.89	225000.00	53.70	0.00	225000.00	1	0.00	239888.64	686272.46	461272.46	2015	1	239888.64	686272.46	K118	446384.00	686272.64	686272.64
0.00	0.00	527.51	-31.12	-128313.49	527.51	225000.00	558.64	0.00	225000.00	0.8671	0.00	-111266.53	2399702.04	2174702.04	2015	0.8671	-128313.49	2399702.04	K119	2222051.00	2110784.47	2110784.47
0.00	0.00	1084.86	10.26	42296.55	1084.86	225000.00	1074.60	0.00	225000.00	0.888	0.00	37557.39	4697394.75	4472394.75	2015	0.888	42296.55	4697394.75	M655	4158723.00	4196280.39	4196280.39
0.00	0.00	801.18	27.76	114448.99	801.18	225000.00	773.42	0.00	225000.00	0.8814	0.00	100871.33	3527908.50	3302908.50	2015	0.8814	114448.99	3527908.50	M670	3035197.00	3136068.33	3136068.33
0.00	0.00	557.43	-2.36	-9748.67	557.43	225000.00	559.80	0.00	225000.00	0.8377	0.00	-8166.20	2523044.48	2298044.48	2015	0.8377	-9748.67	2523044.48	M680	2158178.00	2150011.80	2150011.80
0.00	0.00	224.00	-209.58	-864016.28	224	225000.00	433.59	0.00	225000.00	0.81	0.00	-699853.17	1148467.88	923467.88	2015	0.81	-864016.28	1148467.88	M685	1672862.00	973008.83	973008.83
0.00	0.00	599.26	9.58	39487.01	599.26	225000.00	589.68	0.00	225000.00	1.2391	0.00	39486.99	2695466.30	2470466.30	2015	1	39487.01	2695466.30	M692	3246578.00	3286064.99	3286064.99
